user speed delay
1 1 4925
1 1 484
1 1 490
1 1 491
1 1 442
1 1 4657
1 1 504
1 1 470
1 1 482
1 1 472
1 1 4760
1 1 494
1 1 470
1 1 472
1 1 467
1 1 4887
1 1 463
1 1 471
1 1 454
1 1 460
1 1 4741
1 1 500
1 1 465
1 1 465
1 1 465
1 2 5093
1 2 987
1 2 497
1 2 482
1 2 461
1 2 5037
1 2 1030
1 2 651
1 2 484
1 2 447
1 2 4677
1 2 758
1 2 500
1 2 435
1 2 469
1 2 4586
1 2 721
1 2 450
1 2 450
1 2 466
1 2 4784
1 2 622
1 2 692
1 2 591
1 2 554
1 4 4406
1 4 850
1 4 573
1 4 515
1 4 573
1 4 4941
1 4 572
1 4 722
1 4 483
1 4 711
1 4 5587
1 4 921
1 4 688
1 4 541
1 4 553
1 4 7107
1 4 561
1 4 521
1 4 478
1 4 533
1 4 4755
1 4 1135
1 4 569
1 4 579
1 4 570
1 5 4791
1 5 1012
1 5 480
1 5 705
1 5 591
1 5 4715
1 5 915
1 5 423
1 5 456
1 5 539
1 5 4380
1 5 1150
1 5 979
1 5 613
1 5 666
1 5 4812
1 5 873
1 5 704
1 5 334
1 5 508
1 5 4880
1 5 798
1 5 600
1 5 564
1 5 603
1 6 4737
1 6 797
1 6 611
1 6 570
1 6 562
1 6 5149
1 6 949
1 6 719
1 6 775
1 6 463
1 6 4961
1 6 1082
1 6 988
1 6 547
1 6 490
1 6 4901
1 6 1029
1 6 818
1 6 627
1 6 727
1 6 327
1 6 4511
1 6 620
1 6 817
1 6 713
1 6 394
1 8 4426
1 8 470
1 8 911
1 8 702
1 8 444
1 8 4710
1 8 816
1 8 859
1 8 733
1 8 701
1 8 437
1 8 5207
1 8 1210
1 8 1110
1 8 634
1 8 749
1 8 4932
1 8 979
1 8 682
1 8 727
1 8 467
1 8 4601
1 8 507
1 8 533
1 8 678
1 8 372
1 10 5125
1 10 1056
1 10 963
1 10 581
1 10 462
1 10 5817
1 10 965
1 10 1005
1 10 608
1 10 716
1 10 5335
1 10 1413
1 10 1333
1 10 869
1 10 628
1 10 4800
1 10 736
1 10 936
1 10 701
1 10 432
1 10 4574
1 10 731
1 10 473
1 10 556
1 10 643
2 1 859
2 1 681
2 1 870
2 1 449
2 1 490
2 1 762
2 1 664
2 1 498
2 1 556
2 1 647
2 1 868
2 1 721
2 1 664
2 1 440
2 1 490
2 1 895
2 1 628
2 1 491
2 1 476
2 1 657
2 1 824
2 1 681
2 1 489
2 1 661
2 1 642
2 2 912
2 2 823
2 2 551
2 2 465
2 2 794
2 2 825
2 2 681
2 2 550
2 2 665
2 2 445
2 2 728
2 2 656
2 2 515
2 2 682
2 2 877
2 2 840
2 2 685
2 2 581
2 2 446
2 2 725
2 2 801
2 2 743
2 2 702
2 2 586
2 2 593
2 4 1207
2 4 1030
2 4 557
2 4 501
2 4 553
2 4 796
2 4 541
2 4 498
2 4 719
2 4 715
2 4 820
2 4 802
2 4 5195
2 4 9388
2 4 8993
2 4 8581
2 4 8160
2 4 7769
2 4 7340
2 4 6948
2 4 816
2 4 831
2 4 639
2 4 599
2 4 567
2 4 937
2 4 890
2 4 672
2 4 636
2 4 679
2 5 815
2 5 1011
2 5 924
2 5 1100
2 5 970
2 5 576
2 5 815
2 5 903
2 5 739
2 5 808
2 5 831
2 5 770
2 5 861
2 5 694
2 5 329
2 5 541
2 5 911
2 5 719
2 5 914
2 5 958
2 5 1113
2 5 710
2 5 853
2 5 725
2 5 713
2 5 518
2 5 640
2 6 744
2 6 571
2 6 630
2 6 636
2 6 814
2 6 868
2 6 676
2 6 672
2 6 693
2 6 777
2 6 793
2 6 5417
2 6 5067
2 6 4746
2 6 4440
2 6 4116
2 6 3784
2 6 3418
2 6 3099
2 6 2754
2 6 1500
2 6 1311
2 6 963
2 6 641
2 6 906
2 6 817
2 6 1032
2 6 818
2 6 773
2 6 450
2 8 854
2 8 1231
2 8 1202
2 8 790
2 8 928
2 8 659
2 8 857
2 8 960
2 8 962
2 8 504
2 8 816
2 8 541
2 8 838
2 8 1018
2 8 797
2 8 415
2 8 961
2 8 839
2 8 1388
2 8 2025
2 8 1653
2 8 1353
2 8 837
2 8 783
2 8 999
2 8 851
2 8 563
2 10 872
2 10 918
2 10 777
2 10 437
2 10 607
2 10 854
2 10 744
2 10 1172
2 10 731
2 10 476
2 10 719
2 10 636
2 10 999
2 10 710
2 10 712
2 10 453
2 10 813
2 10 1329
2 10 886
2 10 986
2 10 1664
2 10 1387
2 10 878
2 10 809
2 10 1011
2 10 1248
2 10 930
3 1 820
3 1 700
3 1 523
3 1 484
3 1 478
3 1 919
3 1 731
3 1 808
3 1 500
3 1 450
3 1 982
3 1 661
3 1 551
3 1 451
3 1 480
3 1 1699
3 1 547
3 1 709
3 1 1157
3 1 1139
3 1 866
3 1 675
3 1 641
3 1 551
3 1 470
3 2 976
3 2 728
3 2 647
3 2 781
3 2 697
3 2 877
3 2 882
3 2 557
3 2 686
3 2 668
3 2 836
3 2 1056
3 2 638
3 2 509
3 2 570
3 2 868
3 2 945
3 2 577
3 2 661
3 2 667
3 2 858
3 2 748
3 2 850
3 2 756
3 2 544
3 4 894
3 4 964
3 4 908
3 4 863
3 4 692
3 4 846
3 4 1094
3 4 649
3 4 846
3 4 818
3 4 889
3 4 949
3 4 830
3 4 1084
3 4 1202
3 4 781
3 4 868
3 4 1330
3 4 1156
3 4 716
3 4 709
3 4 942
3 4 1103
3 4 837
3 4 834
3 4 881
3 5 858
3 5 919
3 5 590
3 5 988
3 5 1029
3 5 838
3 5 1029
3 5 885
3 5 838
3 5 688
3 5 941
3 5 809
3 5 641
3 5 695
3 5 808
3 5 828
3 5 1279
3 5 1506
3 5 1439
3 5 1027
3 5 615
3 5 815
3 5 657
3 5 813
3 5 675
3 5 886
3 6 859
3 6 984
3 6 868
3 6 925
3 6 841
3 6 982
3 6 801
3 6 1002
3 6 1284
3 6 942
3 6 893
3 6 969
3 6 882
3 6 1091
3 6 1218
3 6 867
3 6 882
3 6 1379
3 6 1135
3 6 787
3 6 1027
3 6 597
3 6 800
3 6 816
3 6 777
3 6 810
3 6 560
3 8 870
3 8 776
3 8 989
3 8 945
3 8 1048
3 8 586
3 8 977
3 8 1274
3 8 1008
3 8 698
3 8 912
3 8 875
3 8 761
3 8 904
3 8 914
3 8 628
3 8 1573
3 8 1625
3 8 1129
3 8 737
3 8 1385
3 8 826
3 8 962
3 8 890
3 8 439
3 8 988
3 10 868
3 10 1339
3 10 1337
3 10 1025
3 10 772
3 10 830
3 10 1433
3 10 1388
3 10 1065
3 10 783
3 10 1078
3 10 1068
3 10 1143
3 10 694
3 10 489
3 10 1361
3 10 1361
3 10 934
3 10 1639
3 10 1336
3 10 913
3 10 725
3 10 878
3 10 697
3 10 434
4 1 1124
4 1 771
4 1 709
4 1 761
4 1 471
4 1 1085
4 1 510
4 1 582
4 1 687
4 1 523
4 1 875
4 1 662
4 1 789
4 1 561
4 1 648
4 1 929
4 1 1256
4 1 520
4 1 556
4 1 535
4 1 965
4 1 809
4 1 573
4 1 726
4 1 733
4 2 1013
4 2 1033
4 2 777
4 2 906
4 2 703
4 2 861
4 2 1378
4 2 1058
4 2 552
4 2 547
4 2 981
4 2 1066
4 2 719
4 2 688
4 2 792
4 2 1301
4 2 1466
4 2 1097
4 2 1339
4 2 1416
4 2 1116
4 2 695
4 2 826
4 2 914
4 2 590
4 4 941
4 4 1017
4 4 748
4 4 906
4 4 616
4 4 1021
4 4 948
4 4 638
4 4 1074
4 4 1055
4 4 935
4 4 1221
4 4 1040
4 4 1048
4 4 868
4 4 1032
4 4 1097
4 4 817
4 4 639
4 4 640
4 4 903
4 4 833
4 4 743
4 4 717
4 4 703
4 5 1110
4 5 857
4 5 751
4 5 774
4 5 804
4 5 1114
4 5 901
4 5 783
4 5 876
4 5 650
4 5 1003
4 5 946
4 5 764
4 5 914
4 5 752
4 5 1084
4 5 1050
4 5 1001
4 5 1044
4 5 984
4 5 1008
4 5 889
4 5 713
4 5 868
4 5 858
4 6 881
4 6 1070
4 6 876
4 6 952
4 6 1045
4 6 903
4 6 769
4 6 688
4 6 714
4 6 831
4 6 880
4 6 979
4 6 878
4 6 882
4 6 516
4 6 838
4 6 1481
4 6 1628
4 6 1144
4 6 1168
4 6 732
4 6 983
4 6 1187
4 6 1014
4 6 1040
4 6 786
4 8 922
4 8 1372
4 8 1384
4 8 1049
4 8 729
4 8 930
4 8 1051
4 8 988
4 8 899
4 8 930
4 8 953
4 8 974
4 8 761
4 8 773
4 8 999
4 8 774
4 8 726
4 8 1189
4 8 1543
4 8 1681
4 8 1227
4 8 860
4 8 533
4 8 956
4 8 838
4 8 821
4 8 795
4 8 1005
4 10 969
4 10 1025
4 10 702
4 10 1236
4 10 847
4 10 1034
4 10 1128
4 10 1038
4 10 644
4 10 805
4 10 864
4 10 1483
4 10 1509
4 10 1045
4 10 738
4 10 988
4 10 1579
4 10 1236
4 10 1326
4 10 1079
4 10 829
4 10 942
4 10 833
4 10 919
4 10 782
4 10 646
5 1 908
5 1 685
5 1 762
5 1 673
5 1 847
5 1 1059
5 1 578
5 1 570
5 1 601
5 1 491
5 1 966
5 1 764
5 1 646
5 1 469
5 1 586
5 1 1334
5 1 891
5 1 1209
5 1 679
5 1 1121
5 1 1116
5 1 726
5 1 878
5 1 842
5 1 568
5 2 1090
5 2 818
5 2 785
5 2 750
5 2 733
5 2 1052
5 2 763
5 2 802
5 2 759
5 2 660
5 2 869
5 2 885
5 2 742
5 2 671
5 2 839
5 2 1079
5 2 1024
5 2 780
5 2 809
5 2 728
5 2 1019
5 2 859
5 2 831
5 2 800
5 2 695
5 4 751
5 4 899
5 4 863
5 4 636
5 4 1041
5 4 969
5 4 1026
5 4 926
5 4 979
5 4 705
5 4 776
5 4 1343
5 4 1328
5 4 894
5 4 896
5 4 1060
5 4 1059
5 4 911
5 4 1023
5 4 1167
5 4 962
5 4 758
5 4 1021
5 4 960
5 4 636
5 5 1171
5 5 1457
5 5 1090
5 5 717
5 5 923
5 5 1055
5 5 1186
5 5 1240
5 5 1084
5 5 838
5 5 949
5 5 1190
5 5 555
5 5 847
5 5 806
5 5 1059
5 5 1002
5 5 1081
5 5 1371
5 5 1085
5 5 935
5 5 1018
5 5 865
5 5 1032
5 5 1026
5 6 922
5 6 830
5 6 982
5 6 1126
5 6 842
5 6 1129
5 6 915
5 6 961
5 6 1058
5 6 1132
5 6 1065
5 6 1148
5 6 939
5 6 992
5 6 1080
5 6 957
5 6 875
5 6 1099
5 6 880
5 6 972
5 6 964
5 6 973
5 6 775
5 6 802
5 6 806
5 8 716
5 8 1010
5 8 1282
5 8 1110
5 8 682
5 8 918
5 8 906
5 8 986
5 8 676
5 8 915
5 8 1005
5 8 1217
5 8 1301
5 8 877
5 8 1102
5 8 1040
5 8 1104
5 8 1308
5 8 1198
5 8 816
5 8 1064
5 8 866
5 8 874
5 8 774
5 8 1136
5 8 680
5 10 1118
5 10 1089
5 10 1448
5 10 942
5 10 1495
5 10 993
5 10 1350
5 10 1304
5 10 970
5 10 832
5 10 911
5 10 866
5 10 1204
5 10 1473
5 10 1133
5 10 1056
5 10 864
5 10 1026
5 10 896
5 10 1049
5 10 957
5 10 873
5 10 752
5 10 781
5 10 755
6 1 727
6 1 887
6 1 706
6 1 742
6 1 706
6 1 1013
6 1 832
